UF,Sexo,Idade,Anos de Estudo,Renda
Rondônia,Masculino,53,1,788
Rondônia,Masculino,38,6,800
Rondônia,Masculino,72,1,0
Rondônia,Masculino,22,8,1100
Rondônia,Masculino,50,13,2500
Rondônia,Masculino,49,2,0
Rondônia,Masculino,41,16,2000
Rondônia,Masculino,31,14,3000
Rondônia,Masculino,44,16,5000
Rondônia,Masculino,41,16,3500
Rondônia,Masculino,42,9,3500
Rondônia,Masculino,18,10,800
Rondônia,Masculino,41,5,800
Rondônia,Masculino,37,9,850
Rondônia,Masculino,19,9,1500
Rondônia,Masculino,35,9,1000
Rondônia,Masculino,33,12,1200
Rondônia,Masculino,36,6,2000
Rondônia,Masculino,58,1,800
Rondônia,Masculino,56,4,1300
Rondônia,Masculino,34,12,2500
Rondônia,Masculino,28,6,1000
Rondônia,Masculino,27,12,3500
Rondônia,Masculino,28,4,800
Rondônia,Masculino,22,9,788
Rondônia,Masculino,44,9,1500
Rondônia,Masculino,32,9,1600
Rondônia,Masculino,36,8,1700
Rondônia,Masculino,39,7,2000
Rondônia,Masculino,45,16,1000
Rondônia,Masculino,26,12,1400
Rondônia,Masculino,44,16,1200
Rondônia,Masculino,40,5,1500
Rondônia,Masculino,57,5,1300
Rondônia,Masculino,40,8,600
Rondônia,Masculino,41,6,900
Rondônia,Masculino,44,4,1200
Rondônia,Masculino,40,5,2000
Rondônia,Masculino,44,12,900
Rondônia,Masculino,51,1,2000
Rondônia,Masculino,35,4,900
Rondônia,Masculino,22,1,788
Rondônia,Masculino,44,4,900
Rondônia,Masculino,31,9,1500
Rondônia,Masculino,22,12,788
Rondônia,Masculino,61,16,10000
Rondônia,Masculino,56,12,2800
Rondônia,Masculino,53,9,788
Rondônia,Masculino,37,1,788
Rondônia,Masculino,24,11,2000
Rondônia,Masculino,25,14,1500
Rondônia,Masculino,63,9,3000
Rondônia,Masculino,36,12,1200
Rondônia,Masculino,50,9,1000
Rondônia,Masculino,47,7,2500
Rondônia,Masculino,36,5,2000
Rondônia,Masculino,46,9,5000
Rondônia,Masculino,47,12,3000
Rondônia,Masculino,56,16,8000
Rondônia,Masculino,46,6,1200
Rondônia,Masculino,47,12,2500
Rondônia,Masculino,52,9,10000
Rondônia,Masculino,38,12,2400
Rondônia,Masculino,52,9,3000
Rondônia,Masculino,29,16,1900
Rondônia,Masculino,40,16,7500
Rondônia,Masculino,58,12,3310
Rondônia,Masculino,28,5,900
Rondônia,Masculino,52,1,800
Rondônia,Masculino,38,6,3500
Rondônia,Masculino,22,12,1000
Rondônia,Masculino,49,5,8500
Rondônia,Masculino,42,2,950
Rondônia,Masculino,40,4,1300
Rondônia,Masculino,20,9,1500
Rondônia,Masculino,51,12,7000
Rondônia,Masculino,62,12,6000
Rondônia,Masculino,36,12,3400
Rondônia,Masculino,54,12,1200
Rondônia,Masculino,37,12,788
Rondônia,Masculino,22,11,2000
Rondônia,Masculino,21,7,1400
Rondônia,Masculino,47,16,1800
Rondônia,Masculino,69,1,1182
Rondônia,Masculino,68,1,600
Rondônia,Masculino,57,16,4200
Rondônia,Masculino,59,13,4000
Rondônia,Masculino,53,16,7000
Rondônia,Masculino,44,12,800
Rondônia,Masculino,29,12,1000
Rondônia,Masculino,33,7,1200
Rondônia,Masculino,63,1,200
Rondônia,Masculino,61,5,1000
Rondônia,Masculino,42,9,2000
Rondônia,Masculino,37,16,4300
Rondônia,Masculino,39,12,2000
Rondônia,Masculino,36,4,1200
Rondônia,Masculino,56,2,1070
Rondônia,Masculino,59,6,1000
Rondônia,Masculino,46,9,800
Rondônia,Masculino,48,16,5000
Rondônia,Masculino,59,1,350
Rondônia,Masculino,20,8,500
Rondônia,Masculino,41,10,500
Rondônia,Masculino,61,1,1100
Rondônia,Masculino,27,12,1200
Rondônia,Masculino,74,3,1000
Rondônia,Masculino,36,4,788
Rondônia,Masculino,57,5,150
Rondônia,Masculino,34,9,3000
Rondônia,Masculino,40,12,1300
Rondônia,Masculino,52,5,200
Rondônia,Masculino,29,11,788
Rondônia,Masculino,43,12,1000
Rondônia,Masculino,43,6,788
Rondônia,Masculino,38,12,2000
Rondônia,Masculino,36,12,600
Rondônia,Masculino,56,8,4500
Rondônia,Masculino,34,12,1000
Rondônia,Masculino,61,3,788
Rondônia,Masculino,32,9,1400
Rondônia,Masculino,59,12,0
Rondônia,Masculino,57,8,350
Rondônia,Masculino,38,12,920
Rondônia,Masculino,34,5,4800
Rondônia,Masculino,31,12,3000
Rondônia,Masculino,34,9,1200
Rondônia,Masculino,34,11,1500
Rondônia,Masculino,22,8,2500
Rondônia,Masculino,64,12,1500
Rondônia,Masculino,53,16,1500
Rondônia,Masculino,36,12,1500
Rondônia,Masculino,29,9,1000
Rondônia,Masculino,49,2,2000
Rondônia,Masculino,35,9,1300
Rondônia,Masculino,21,12,1200
Rondônia,Masculino,52,5,1000
Rondônia,Masculino,37,5,1500
Rondônia,Masculino,31,15,2500
Rondônia,Masculino,58,5,200
Rondônia,Masculino,34,7,1270
Rondônia,Masculino,49,4,788
Rondônia,Masculino,27,11,45000
Rondônia,Masculino,38,12,1200
Rondônia,Masculino,48,9,1100
Rondônia,Masculino,44,9,150
Rondônia,Masculino,54,4,500
Rondônia,Masculino,60,2,1500
Rondônia,Masculino,20,7,1200
Rondônia,Masculino,39,5,1500
Rondônia,Masculino,51,9,2600
Rondônia,Masculino,42,12,3500
Rondônia,Masculino,29,16,2400
Rondônia,Masculino,58,1,100
Rondônia,Masculino,35,7,750
Rondônia,Masculino,34,5,900
Rondônia,Masculino,65,1,5000
Rondônia,Masculino,58,1,1500
Rondônia,Masculino,46,11,1000
Rondônia,Masculino,48,9,5000
Rondônia,Masculino,57,5,1400
Rondônia,Masculino,33,1,900
Rondônia,Masculino,43,4,1500
Rondônia,Masculino,43,12,1200
Rondônia,Masculino,52,1,788
Rondônia,Masculino,25,6,788
Rondônia,Masculino,50,5,2000
Rondônia,Masculino,54,9,2000
Rondônia,Masculino,50,12,2000
Rondônia,Masculino,46,1,1200
Rondônia,Masculino,46,5,1290
Rondônia,Masculino,34,9,1500
Rondônia,Masculino,38,16,1200
